VERSION|DML_IND|BENE_ID|STATE_CODE|BENE_COUNTY_CD|BENE_ZIP_CD|BENE_BIRTH_DT|BENE_SEX_IDENT_CD|BENE_RACE_CD|BENE_ENTLMT_RSN_ORIG|BENE_ENTLMT_RSN_CURR|BENE_ESRD_IND|BENE_MDCR_STATUS_CD|BENE_PTA_TRMNTN_CD|BENE_PTB_TRMNTN_CD|BENE_CRNT_HIC_NUM|BENE_SRNM_NAME|BENE_GVN_NAME|BENE_MDL_NAME
4|INSERT|14|CA|SAN FRANCISCO|761153568|12-SEP-1939|F|4|0|0|N|10|0|0|340411530D|Qnflvh|Dqxt|T
4|INSERT|15|PA|CHESTER|498397060|02-OCT-1954|M|2|1|1|N|20|0|0|945366369F|Yzjlym|Vetu|M
4|INSERT|16|AZ|PIMA|692364410|03-MAY-1938|F|1|1|0|N|10|0|0|366014658J|Oukwla|Fess|E
4|INSERT|17|WA|BENTON|228385148|13-FEB-1953|M|1|1|1|N|20|0|0|941926837D|Yjufoe|Mxnh|S
4|INSERT|18|MN|HENNEPIN|899079154|30-MAY-1947|F|1|1|1|N|20|0|0|591240248H|Hmnjxu|Ggep|G
4|INSERT|19|MD|BALTIMORE CITY|817986558|10-JUN-1940|M|1|0|0|N|10|0|0|658499537X|Spqvdh|Utsk|M
4|INSERT|20|DE|NEW CASTLE|173365228|26-JUN-1929|F|1|0|0|N|10|0|0|612054579S|Xaetbs|Iykc|E
4|INSERT|21|MI|OTTAWA|973561050|30-MAR-1923|M|1|0|0|N|10|0|0|971354049Z|Qmubhm|Vfzp|S
4|INSERT|22|NY|KINGS|106263260|14-APR-1934|M|1|0|0|N|10|0|0|154574164A|Moqnek|Kbni|
4|INSERT|23|MD|HARFORD|479826900|26-JUL-1948|F|1|1|1|N|20|0|0|249499571O|Bgwqog|Hxjc|
4|INSERT|24|TX|TARRANT|610443841|28-JUL-1940|F|1|0|0|N|10|0|0|261258583P|Ivxfbr|Isfn|W
4|INSERT|25|IA|HENRY|677969579|07-FEB-1918|M|1|0|0|N|10|0|0|406708995E|Mgxcav|Hddj|L
4|INSERT|26|NH|HILLSBOROUGH|245957073|14-OCT-1928|M|1|0|0|N|10|0|0|633407816N|Okgaey|Icpm|Y
4|INSERT|27|DE|NEW CASTLE|365581603|30-DEC-1940|F|1|0|0|N|10|0|0|917392703A|Eaxwki|Xmjh|P
4|INSERT|28|ID|CANYON|370570382|14-NOV-1944|F|1|0|0|N|10|0|0|323967750F|Jxcpjm|Pirn|A
4|INSERT|29|NV|CLARK|830863523|04-DEC-1919|M|1|0|0|N|10|0|0|771503054Q|Yhxhhc|Dxrs|
4|INSERT|30|NJ|CAMDEN|739355493|22-FEB-1925|M|1|0|0|N|10|0|0|516238159W|Wogfqp|Xhor|
4|INSERT|31|MD|CARROLL|793600197|06-AUG-1948|M|1|0|0|N|10|0|0|594544284U|Kirsqw|Diqe|R
4|INSERT|32|MI|KENT|284049137|20-SEP-1940|F|1|0|0|N|10|0|0|759369233F|Kjsjtz|Dqsf|B
4|INSERT|33|OH|SUMMIT|455692282|24-JUL-1948|M|3|0|0|N|10|0|0|305244474U|Fgfdbi|Qyuu|M
4|INSERT|34|OH|STARK|876013400|14-APR-1948|F|1|0|0|N|10|0|0|402438306A|Cflktr|Oizr|T
4|INSERT|35|TX|MC LENNAN|136433203|28-SEP-1947|F|1|1|1|N|10|0|0|850273503I|Hkradx|Ywze|
4|INSERT|36|PA|BUCKS|822639729|20-APR-1948|M|3|1|1|N|20|0|3|134241243D|Jhyfkv|Pejx|A
4|INSERT|37|NY|ORANGE|152424725|18-DEC-1951|M|2|1|1|N|20|0|0|134125113N|Xhbxom|Otju|E
4|INSERT|38|IL|MC HENRY|419155523|07-AUG-1934|F|1|0|0|N|10|0|0|871039824Q|Tzrjiu|Rsxz|E
4|INSERT|39|IL|WILL|70681192.|11-MAY-1928|M|1|0|0|N|10|0|0|788564956W|Qpqoyp|Ifum|M
4|INSERT|40|CA|LOS ANGELES|673333691|28-JAN-1946|M|4|0|0|N|10|0|0|267778609X|Abycys|Fbfx|
4|INSERT|41|MI|OAKLAND|985383781|08-JUL-1947|F|1|0|0|N|10|0|0|533139637Q|Fgrmds|Nebm|S
4|INSERT|42|AZ|PIMA|660213887|09-MAY-1947|M|6|0|0|N|10|0|0|836882859Z|Qgzhxr|Khxq|S
4|INSERT|43|TX|TAYLOR|199684224|04-OCT-1936|M|1|0|0|N|10|1|1|554087234A|Imvsfv|Upbm|E
4|INSERT|44|KY|JEFFERSON|460503567|16-SEP-1942|F|1|0|0|N|10|0|0|159166735R|Kagrap|Ixzd|C
4|INSERT|45|SC|HORRY|872914138|16-MAY-1948|F|1|0|0|N|10|0|0|806629870F|Wraiga|Zzlt|W
4|INSERT|46|MD|HARFORD|998380522|21-JUL-1948|M|1|0|0|N|10|0|0|914847002C|Jdxyxj|Hdjl|L
4|INSERT|47|FL|PASCO|943025729|20-MAR-1939|F|1|1|0|N|10|0|0|121771461N|Jfuyss|Kgdb|W
4|INSERT|48|NH|CARROLL|809447583|20-JUL-1925|F|1|0|0|N|10|0|0|153810756L|Jbrfcq|Vxog|B
4|INSERT|49|CA|ORANGE|136202404|31-JAN-1944|F|3|0|0|N|10|0|0|133206966G|Cbccfk|Oayr|S
4|INSERT|50|SC|BEAUFORT|337043078|06-SEP-1944|F|1|0|0|N|10|0|0|914941005Z|Dwskpg|Aopj|E
4|INSERT|51|CA|RIVERSIDE|886449739|30-AUG-1946|F|1|0|0|N|10|0|0|582523600J|Lmuqmw|Zuvp|J
4|INSERT|52|CT|NEW HAVEN|816062726|24-AUG-1940|M|1|1|0|N|10|0|0|339099889C|Pscebu|Cuak|
4|INSERT|53|IN|MARION|82589234.|20-SEP-1939|F|1|0|0|N|10|0|0|785845237V|Wqbgkn|Pzaa|E
4|INSERT|54|TX|WALLER|956335158|14-NOV-1946|F|1|0|0|N|10|0|0|479213251M|Mlqvyh|Cslb|J
4|INSERT|55|CA|ALAMEDA|682491107|09-AUG-1949|M|5|1|1|N|20|0|0|345041917E|Uonahr|Hndk|
4|INSERT|56|TX|HARRIS|161125285|30-NOV-1938|M|2|0|0|N|10|0|0|207844515P|Rsznep|Prpb|F
4|INSERT|57|NY|QUEENS|35738483.|28-FEB-1939|F|5|0|0|N|10|0|0|573113299C|Pqeovw|Vxox|E
4|INSERT|58|VA|WAYNESBORO CITY|825359207|18-DEC-1944|M|1|0|0|N|10|0|0|160596143O|Bjuxah|Nyvh|L
4|INSERT|59|GA|NEWTON|147912453|18-JUN-1928|F|1|0|0|N|10|0|0|231832375T|Ztgyqc|Rmfc|S
4|INSERT|60|CA|LOS ANGELES|692015171|08-FEB-1948|F|3|1|1|N|20|0|0|979055508I|Wigzhb|Xynq|
4|INSERT|61|TX|GREGG|981089953|28-MAR-1935|F|1|0|0|N|10|0|0|693105100A|Xlkqke|Hbum|V
4|INSERT|62|NY|NASSAU|16210836.|13-AUG-1944|M|1|0|0|N|10|0|0|597727980K|Wlyarq|Fghv|F
4|INSERT|63|PA|ALLEGHENY|999656572|14-JUN-1940|M|1|0|0|N|10|0|0|855905077F|Ursdtd|Jatb|M
4|INSERT|64|TX|GREGG|321902586|01-NOV-1947|M|1|0|0|N|10|0|0|756196836E|Eljbsc|Kgbo|B
4|INSERT|65|WI|KENOSHA|299114529|17-AUG-1984|M|2|1|1|N|20|0|0|864479932X|Gyapre|Ichb|
4|INSERT|66|NE|CUSTER|101375672|21-NOV-1941|M|1|0|0|N|10|0|0|884472729N|Ugbjqd|Lasy|E
4|INSERT|67|TX|HUTCHINSON|187931236|10-JUN-1940|M|2|0|0|N|10|0|0|344193122B|Bhvnpy|Btta|M
4|INSERT|68|CA|RIVERSIDE|107223886|24-JUL-1949|F|1|1|1|N|20|0|0|544098631E|Xojjyd|Itma|D
4|INSERT|69|NJ|CAMDEN|687374242|14-JUL-1948|F|2|1|1|N|20|0|0|243941477P|Hrhxzb|Wmsx|A
4|INSERT|70|MO|PLATTE|530759680|18-FEB-1940|M|1|0|0|N|10|0|0|168343096V|Yfswly|Yamj|E
4|INSERT|71|LA|TANGIPAHOA|582997383|30-MAR-1935|F|1|0|0|N|10|0|0|506123551S|Wskowd|Fwwb|H
4|INSERT|72|FL|POLK|911921773|09-JUL-1960|F|1|3|3|Y|21|0|0|307822130N|Xaggki|Oqat|
4|INSERT|73|CT|LITCHFIELD|362968357|29-MAY-1959|M|1|1|1|N|20|0|0|712346308A|Wwtikd|Qkpt|A
4|INSERT|74|CA|ALAMEDA|806075320|03-MAR-1928|F|4|0|0|N|10|0|0|457722272U|Ykqosq|Xrfi|X
4|INSERT|75|PA|LEHIGH|160832175|11-AUG-1939|F|3|0|0|N|10|0|0|534099799A|Etlhth|Kqlp|K
4|INSERT|76|KY|LAUREL|4530418.4|04-AUG-1939|M|1|1|0|N|10|0|0|255104558M|Ljdvue|Qawh|P
4|INSERT|77|ID|ADA|641434396|27-MAR-1929|M|1|0|0|N|10|0|0|453985746K|Ytjywy|Bwkk|P
4|INSERT|78|IL|COOK|352371036|20-MAY-1945|M|2|0|0|N|10|0|0|996444623K|Bnulwb|Ywmr|L
4|INSERT|79|VA|DANVILLE CITY|908650073|03-NOV-1926|M|1|0|0|N|10|0|0|929376584J|Fjhcdk|Acgg|M
4|INSERT|80|TN|MC MINN|292457914|14-SEP-1972|M|1|1|1|N|20|0|0|751082850L|Lxekte|Jppn|M
4|INSERT|81|CA|LOS ANGELES|547050174|19-JUN-1944|M|1|0|0|N|10|0|0|399579960D|Tpfuco|Hdbe|L
4|INSERT|82|NE|SCOTT BLUFF|616199019|11-AUG-1933|M|1|0|0|N|10|1|1|728760039N|Ygzozf|Jams|
4|INSERT|83|KS|WYANDOTTE|14873491.|09-AUG-1961|M|1|1|1|N|20|0|0|919126375G|Kjlzmb|Ried|L
4|INSERT|84|NC|RANDOLPH|333524178|15-JUL-1947|F|1|0|0|N|10|0|0|768364602K|Qrrxlc|Rtti|T
4|INSERT|85|TX|MONTGOMERY|906631873|12-FEB-1947|M|1|0|0|N|10|0|0|475150279N|Pmepwq|Eoou|
4|INSERT|86|PR|LARES|599970455|09-MAY-1942|F|1|0|0|N|10|0|0|363098362N|Kpemqp|Grdu|
4|INSERT|87|TX|BELL|569954781|18-APR-1950|F|1|0|0|N|10|0|0|573405263L|Uebjxa|Mrqn|W
4|INSERT|88|NC|WAKE|479707591|11-NOV-1966|F|1|1|1|N|20|0|0|171333631S|Fipjfc|Mpph|
4|INSERT|89|MS|LOWNDES|677743315|14-JAN-1931|M|2|0|0|N|10|0|0|495398342A|Ysrsyy|Uyzb|L
4|INSERT|90|MO|PLATTE|792318067|03-MAY-1943|F|1|0|0|N|10|0|0|164341629M|Wgmthk|Vgzm|D
4|INSERT|91|MN|HENNEPIN|388153219|15-AUG-1986|F|1|1|1|N|20|0|0|302266915K|Slutfa|Cotk|R
4|INSERT|92|SC|MCCORMICK|802659562|03-APR-1946|F|1|0|0|N|10|0|0|713072469L|Ykhgul|Pswu|W
4|INSERT|93|IA|SCOTT|504526284|10-JUL-1941|M|1|0|0|N|10|0|0|700551670O|Ilundk|Essz|L
4|INSERT|94|TX|MONTGOMERY|464891974|06-JAN-1937|F|1|0|0|N|10|0|0|432296737Q|Ilbhsl|Epqp|J
4|INSERT|95|TX|COLLIN|347203891|30-DEC-1934|M|1|0|0|N|10|0|0|788334823E|Qkkdad|Fzof|G
4|INSERT|96|NY|QUEENS|983247547|24-JAN-1944|M|1|0|0|N|10|0|0|966890706D|Hkjaaq|Swsi|L
4|INSERT|97|OK|PITTSBURG|570940555|11-MAY-1924|M|1|0|0|N|10|0|0|508546099J|Qagxql|Ynne|L
4|INSERT|98|FL|MANATEE|921640402|25-JUN-1935|M|1|0|0|N|10|0|0|460478024Z|Mhphpj|Rcme|
4|INSERT|99|MT|LAKE|603078583|01-APR-1940|F|1|0|0|N|10|0|0|670434405M|Kxirtb|Dgaw|R
4|INSERT|100|NY|SUFFOLK|211775155|29-MAY-1942|M|1|0|0|N|10|0|0|232516740T|Mdzfjw|Ipxh|M
4|INSERT|101|UT|SALT LAKE|624959477|18-JUL-1948|F|3|1|1|N|20|0|0|698951648K|Pepznr|Uycr|E
4|INSERT|102|GA|LOWNDES|286029791|06-JAN-1931|M|1|0|0|N|10|0|0|337313343L|Wukybc|Kppb|M
4|INSERT|103|CA|LAKE|471926457|16-AUG-1961|M|1|1|1|N|20|0|0|405193802U|Cqtviy|Vibq|A
4|INSERT|104|CA|SANTA CRUZ|959736858|20-JAN-1940|F|1|0|0|N|10|0|0|903802187V|Neieov|Auuj|T
4|INSERT|105|CA|CONTRA COSTA|343996005|01-JUL-1937|F|1|0|0|N|10|0|0|644449848W|Wljlzr|Qgmc|D
4|INSERT|106|SC|CHARLESTON|943050221|13-MAY-1953|F|2|1|1|N|20|0|0|466259382A|Qijrpx|Cjgy|L
4|INSERT|107|MI|KENT|716650160|30-AUG-1945|M|1|0|0|N|10|0|0|303410552V|Semknp|Grjv|E
4|INSERT|108|CA|SAN MATEO|11891556.|30-JUN-1944|M|1|0|0|N|10|0|0|337291937X|Kxslfy|Mynp|G
4|INSERT|109|CA|MARIN|338631642|09-FEB-1963|M|1|1|1|N|20|0|0|937775579S|Ygilhc|Plbd|L
4|INSERT|110|CO|DELTA|917668747|29-SEP-1927|M|1|0|0|N|10|0|0|370104958U|Gtbhft|Ohjh|J
4|INSERT|111|CA|LOS ANGELES|137059712|08-AUG-1932|M|1|1|0|N|10|0|0|374531812X|Yfnpxk|Qvbo|J
4|INSERT|112|NY|ONONDAGA|375511174|25-JUN-1936|F|2|0|0|N|10|0|0|483967947G|Cvtdry|Egfs|A
4|INSERT|113|MI|WAYNE|344585841|28-AUG-1930|F|1|0|0|N|10|0|0|542867517X|Aeardg|Rurn|
4|INSERT|114|TX|TRAVIS|419863423|21-AUG-1936|F|1|0|0|N|10|0|0|354287478Z|Xhnfzd|Cyxg|R
4|INSERT|115|NV|CLARK|116139564|21-SEP-1950|M|3|1|1|N|20|0|0|268607290N|Mmpacn|Txcu|
4|INSERT|116|IL|COOK|47686517.|16-AUG-1947|F|1|0|0|N|10|0|0|856090491I|Lmcuvq|Kfde|C
4|INSERT|117|NJ|GLOUCESTER|703712558|30-JUN-1943|M|1|0|0|N|10|0|0|166385712R|Pidosm|Esht|C
4|INSERT|118|NY|NEW YORK|655796878|12-DEC-1942|M|1|0|0|N|10|0|0|226899538L|Ymcppy|Sbyy|
4|INSERT|119|AL|LEE|783986373|18-JAN-1942|F|2|0|0|N|10|0|0|156305464L|Jsyvde|Jfcm|J
4|INSERT|120|PA|NORTHAMPTON|204579674|13-DEC-1932|M|1|0|0|N|10|0|0|626745164M|Jmqxya|Hxfa|J
4|INSERT|121|IL|COOK|81496074.|09-MAR-1934|M|1|0|0|N|10|0|0|927694751G|Jggxun|Hqih|
4|INSERT|122|PA|BEDFORD|441460209|28-SEP-1934|M|1|0|0|N|10|0|0|830231943Z|Kxwezm|Bgwq|
4|INSERT|123|TX|MONTGOMERY|49160519.|07-FEB-1944|F|1|0|0|N|10|0|0|622374665V|Uiqgzi|Cjbe|P
4|INSERT|124|FL|MARION|359325897|11-JAN-1950|M|1|1|1|N|20|0|0|186287205C|Sojblb|Vufh|
4|INSERT|125|MN|FREEBORN|676201440|08-MAY-1932|M|1|0|0|N|10|0|0|138944991H|Anjpba|Gktg|B
4|INSERT|126|NC|ANSON|976100990|07-APR-1930|F|1|0|0|N|10|0|0|198777123R|Yvruap|Tjnn|M
4|INSERT|127|CA|CONTRA COSTA|643959000|26-AUG-1938|M|1|0|0|N|10|0|0|333105023L|Inebpq|Tixd|E
4|INSERT|128|NE|PLATTE|195791051|08-OCT-1946|M|1|0|0|N|10|0|0|647436695P|Lqbdfi|Wdvv|M
4|INSERT|129|AZ|PIMA|187865837|08-JAN-1936|M|1|0|0|N|10|0|0|474202489Q|Wuoryr|Dgbw|G
4|INSERT|130|PA|CHESTER|531054170|02-SEP-1926|M|1|0|0|N|10|0|0|740415304P|Wobgld|Kcsy|
4|INSERT|131|MD|MONTGOMERY|346361046|22-SEP-1942|F|1|0|0|N|10|0|0|693250629Q|Cmvgea|Veir|E
4|INSERT|132|NJ|WARREN|495165555|16-MAR-1924|F|1|0|0|N|10|0|0|221775286J|Mdryfy|Rhoh|
4|INSERT|133|WI|MILWAUKEE|140039136|26-OCT-1935|M|1|0|0|N|10|0|0|109928709X|Cxigkr|Etyh|A
4|INSERT|134|PA|CHESTER|128502201|17-AUG-1933|F|1|0|0|N|10|0|0|959038194A|Keoxyn|Jccp|
4|INSERT|135|NJ|ESSEX|503619492|24-OCT-1944|M|1|0|0|N|10|0|0|186750232F|Grxikx|Enhg|R
4|INSERT|136|TX|TARRANT|922935593|25-OCT-1941|F|1|0|0|N|10|0|0|754448037L|Xiqkeb|Cuvp|L
4|INSERT|137|MI|OAKLAND|897621202|23-MAR-1943|M|1|0|0|N|10|0|0|971269614K|Jvxlcp|Yizp|P
4|INSERT|138|LA|ST. TAMMANY|830237825|06-OCT-1952|F|1|1|1|N|20|0|0|394856805U|Newxpm|Goxo|F
4|INSERT|139|MS|RANKIN|563608970|24-NOV-1972|F|1|1|1|N|20|0|0|598091410J|Vzafch|Dijh|C
4|INSERT|140|OR|MARION|548160200|18-DEC-1939|M|1|0|0|N|10|0|0|606172918P|Vcczde|Obys|B
4|INSERT|141|MA|SUFFOLK|125984279|03-OCT-1975|F|2|1|1|N|20|0|0|545384437E|Smnoft|Kdua|S
4|INSERT|142|GA|MUSCOGEE|310635504|27-JUL-1942|M|2|0|0|N|10|0|0|722848458Y|Ajxtus|Asmk|M
4|INSERT|143|CA|SHASTA|364994908|09-MAR-1942|M|1|0|0|N|10|0|0|238263832P|Bxqyds|Spwj|A
4|INSERT|144|TN|HAMBLEN|550590279|10-OCT-1940|M|1|0|0|N|10|0|0|386506770K|Wgfzad|Iaxi|R
4|INSERT|145|OH|BROWN|381836202|15-DEC-1980|M|1|1|1|N|20|0|0|970606944L|Smxecp|Mvso|N
4|INSERT|146|OH|TRUMBULL|423774913|18-JAN-1928|M|1|0|0|N|10|1|1|240594988P|Mmautu|Zzsb|P
4|INSERT|147|MI|MISSAUKEE|419436901|20-FEB-1926|M|1|0|0|N|10|0|0|908108157L|Qvjajj|Kaxu|
4|INSERT|148|KY|DAVIESS|588767103|30-MAY-1939|F|1|0|0|N|10|0|0|166956136E|Uigjvr|Mbxc|L
4|INSERT|149|MA|WORCESTER|908738444|29-JAN-1948|M|1|1|0|N|10|0|0|941747656I|Mzhoxn|Zmpv|J
4|INSERT|150|CA|FRESNO|87368403.|02-SEP-1945|M|1|0|0|N|10|0|0|618816111O|Thuvrv|Czdv|R
4|INSERT|151|NV|CLARK|841632982|21-AUG-1937|F|1|0|0|N|10|0|0|885195604C|Txgndv|Zqxi|J
4|INSERT|152|NY|SUFFOLK|271513123|24-AUG-1916|F|1|0|0|N|10|0|0|451446853H|Teiyxz|Qqmd|E
4|INSERT|153|MN|OLMSTED|453601227|22-JUL-1945|F|1|0|0|N|10|0|0|498302732C|Ysaqca|Lebd|H
4|INSERT|154|WI|WAUKESHA|653649100|26-APR-1943|M|1|0|0|N|10|0|0|289104679M|Blcqoo|Zatz|D
4|INSERT|155|PA|MONTGOMERY|494003662|06-JAN-1939|M|1|0|0|N|10|0|0|394278143L|Eiatzf|Femc|J
4|INSERT|156|OH|HARDIN|824082737|15-APR-1936|M|1|0|0|N|10|0|0|671045231M|Pbpiqk|Kzqf|D
4|INSERT|157|WI|GREEN|97976932.|28-JUL-1944|F|1|0|0|N|10|0|0|737367593D|Rabtef|Ycul|E
4|INSERT|158|CO|WELD|185479508|14-OCT-1952|M|1|1|1|N|20|0|0|638433391I|Urckys|Sdxp|R
4|INSERT|159|NY|NASSAU|708994838|10-AUG-1937|M|2|0|0|N|10|0|0|576131091Z|Qzqrlr|Tbyj|H
4|INSERT|160|CA|SACRAMENTO|680280966|06-APR-1946|M|1|0|0|N|10|0|0|714846177E|Kuwwjj|Atvi|R
4|INSERT|161|AL|JEFFERSON|347391565|15-JUN-1966|F|1|1|1|N|20|0|0|676968861I|Ccovzs|Tvwk|L
4|INSERT|162|TX|HARRIS|397688934|08-DEC-1942|F|1|0|0|N|10|0|0|263213489M|Irrfvn|Evob|D
4|INSERT|163|AL|MADISON|749018490|29-APR-1948|F|1|1|1|N|10|0|0|953315009I|Gmrzit|Tant|W
4|INSERT|164|VT|ADDISON|379843083|15-OCT-1945|M|1|0|0|N|10|0|0|848277828F|Fvzygf|Naov|P
4|INSERT|165|IL|TAZEWELL|634712517|03-MAR-1938|F|1|0|0|N|10|0|0|505584432E|Gkvaku|Irsb|E
4|INSERT|166|NY|ONEIDA|281134858|07-DEC-1937|M|1|0|0|N|10|0|0|795950670L|Ihgawx|Bvml|B
4|INSERT|167|SC|HORRY|508679829|25-NOV-1936|M|1|0|0|N|10|0|0|552111668C|Btpgqy|Kete|L
4|INSERT|168|WA|PIERCE|408905635|20-JUN-1943|M|1|0|0|N|10|0|0|416233221K|Lttvgh|Fnfk|B
4|INSERT|169|MI|WAYNE|459280655|17-FEB-1946|M|2|0|0|N|10|0|0|813057163R|Tlejnx|Tabz|L
4|INSERT|170|IL|MC HENRY|808900387|09-NOV-1921|M|1|0|0|N|10|0|0|542887323F|Itgdrs|Upsi|A
4|INSERT|171|NM|VALENCIA|554178830|17-FEB-1931|M|1|0|0|N|10|0|0|346094668Y|Gmaskj|Sviy|D
4|INSERT|172|OH|FRANKLIN|529844292|09-APR-1940|M|1|0|0|N|10|0|0|257813165F|Wuaozc|Onlx|V
4|INSERT|173|LA|LAFAYETTE|604595879|04-JAN-1959|F|1|1|1|N|20|0|0|503115374Z|Pytlkk|Wnpe|J
4|INSERT|174|DC|THE DISTRICT|697527654|04-APR-1931|F|2|0|0|N|10|0|0|384380691U|Yahvyd|Ysht|L
4|INSERT|175|CA|EL DORADO|344058782|23-JUN-1930|F|1|0|0|N|10|0|0|126879205V|Opegmq|Qeud|R
4|INSERT|176|CT|HARTFORD|624932326|15-JAN-1953|F|1|1|1|N|20|0|0|906608050L|Rrpqpz|Pgxn|J
4|INSERT|177|FL|MARION|314623480|22-JUN-1944|F|1|1|0|N|10|0|0|688888329P|Mtrwui|Aorj|W
4|INSERT|178|OK|OKLAHOMA|579743186|17-JAN-1939|F|1|0|0|N|10|0|0|123037984I|Exbdmy|Noto|C
4|INSERT|179|PA|PHILADELPHIA|341719011|14-APR-1945|F|2|0|0|N|10|0|0|935265407A|Ptlxfq|Aemk|S
4|INSERT|180|NJ|MONMOUTH|743651836|18-NOV-1941|F|1|0|0|N|10|0|0|912937078S|Xnqxau|Nrcc|
4|INSERT|181|NV|WASHOE|591569559|11-SEP-1936|M|1|0|0|N|10|0|0|216978665B|Kyhjth|Qgfg|M
4|INSERT|182|NC|ROWAN|606042739|05-SEP-1959|M|2|1|1|N|20|0|0|336478201N|Rrvapz|Qcvo|A
4|INSERT|183|OH|FRANKLIN|660562850|30-JAN-1981|F|2|1|1|N|20|0|0|648136336F|Uzeauw|Wnzt|I
4|INSERT|184|CA|SANTA CLARA|229285098|19-OCT-1942|M|1|0|0|N|10|0|0|561312894Q|Sbxpbh|Owud|G
4|INSERT|185|NY|SUFFOLK|312203871|07-DEC-1946|M|1|0|0|N|10|0|0|867709999F|Azjrdb|Iyil|C
4|INSERT|186|OH|FRANKLIN|41431700.|29-OCT-1941|F|1|0|0|N|10|0|0|371509614T|Flzuio|Cmos|D
4|INSERT|187|PA|PHILADELPHIA|690545003|19-OCT-1928|M|2|0|0|N|10|0|0|709076865K|Dkvnef|Aenz|
4|INSERT|188|NC|GUILFORD|286759261|14-DEC-1964|F|1|1|1|N|20|0|0|651299548S|Uotuuc|Aabx|E
4|INSERT|189|GA|DE KALB|698766000|21-SEP-1906|M|1|0|0|N|10|0|0|439466595P|Elpljm|Czom|B
4|INSERT|190|KS|JOHNSON|578312103|10-FEB-1927|M|1|0|0|N|10|0|0|169507318P|Qbindt|Ibiw|L
4|INSERT|191|TX|HARRIS|799050690|23-MAR-1945|F|1|0|0|N|10|0|0|792580412S|Lhuzaa|Ytrj|R
4|INSERT|192|AR|WASHINGTON|830239962|25-APR-1924|M|1|0|0|N|10|0|0|820123865Y|Duwdej|Wdpe|
4|INSERT|193|OH|FRANKLIN|893073573|15-MAY-1945|F|1|1|1|N|10|0|0|691276343Y|Ttftda|Temd|
4|INSERT|194|CA|SAN DIEGO|491340197|02-MAR-1920|F|1|0|0|N|10|0|0|256232971G|Vsggam|Haxm|C
4|INSERT|195|MI|MACOMB|200244808|19-APR-1950|M|2|1|1|N|20|0|0|590492100Z|Ftnvgn|Tguc|
4|INSERT|196|SC|GREENVILLE|382781549|26-APR-1933|M|1|0|0|N|10|0|0|705551786O|Dtyrar|Vlpw|G
4|INSERT|197|CA|SACRAMENTO|290100893|10-DEC-1932|M|1|0|0|N|10|0|0|449274500F|Rwixtk|Nrvz|R
4|INSERT|198|CA|SAN BERNARDINO|341558482|22-JUN-1957|M|4|1|1|N|20|0|0|624007421J|Tpzfgk|Aydh|A
4|INSERT|199|FL|VOLUSIA|853879819|07-JUN-1944|F|1|0|0|N|10|0|0|864924989Y|Abpcze|Roln|C
4|INSERT|200|PA|SNYDER|824964490|22-DEC-1943|F|1|0|0|N|10|0|0|655670852T|Pkfkds|Gaxc|M
4|INSERT|201|OH|HAMILTON|422515044|22-JAN-1935|M|1|0|0|N|10|0|0|821295528V|Sfxkuj|Yinn|A
